"","team","x","y","area","time","opp","score","map"
"1","eunited",93,98,67,1,"col",10,"ardennes"
"2","eunited",93,98,67,1,"col",10,"ardennes"
"21","eunited",92,17,56,1,"col",10,"ardennes"
"22","eunited",92,17,56,1,"col",10,"ardennes"
"3","col",148,118,46,1,"eunited",10,"ardennes"
"31","col",148,118,46,1,"eunited",10,"ardennes"
"4","col",128,120,175,1,"eunited",10,"ardennes"
"41","col",128,120,175,1,"eunited",10,"ardennes"
"5","col",161,43,134,1,"eunited",10,"ardennes"
"51","col",161,43,134,1,"eunited",10,"ardennes"
"6","eunited",93,98,67,2,"col",10,"ardennes"
"61","eunited",93,98,67,2,"col",10,"ardennes"
"7","eunited",95,20,51,2,"col",10,"ardennes"
"71","eunited",95,20,51,2,"col",10,"ardennes"
"8","col",124,120,90,2,"eunited",10,"ardennes"
"81","col",124,120,90,2,"eunited",10,"ardennes"
"9","col",161,86,80,2,"eunited",10,"ardennes"
"91","col",161,86,80,2,"eunited",10,"ardennes"
"10","col",156,37,118,2,"eunited",10,"ardennes"
"101","col",156,37,118,2,"eunited",10,"ardennes"
"11","eunited",93,98,68,3,"col",10,"ardennes"
"111","eunited",93,98,68,3,"col",10,"ardennes"
"12","eunited",152,20,84,3,"col",10,"ardennes"
"121","eunited",152,20,84,3,"col",10,"ardennes"
"13","col",122,118,49,3,"eunited",10,"ardennes"
"131","col",122,118,49,3,"eunited",10,"ardennes"
"14","col",163,42,42,3,"eunited",10,"ardennes"
"141","col",163,42,42,3,"eunited",10,"ardennes"
"15","col",140,34,60,3,"eunited",10,"ardennes"
"151","col",140,34,60,3,"eunited",10,"ardennes"
"16","eunited",93,98,66,4,"col",10,"ardennes"
"161","eunited",93,98,66,4,"col",10,"ardennes"
"17","eunited",95,30,94,4,"col",10,"ardennes"
"171","eunited",95,30,94,4,"col",10,"ardennes"
"18","eunited",151,20,79,4,"col",10,"ardennes"
"181","eunited",151,20,79,4,"col",10,"ardennes"
"19","col",115,122,99,4,"eunited",10,"ardennes"
"191","col",115,122,99,4,"eunited",10,"ardennes"
"20","col",145,101,75,4,"eunited",10,"ardennes"
"201","col",145,101,75,4,"eunited",10,"ardennes"
"211","col",162,41,68,4,"eunited",10,"ardennes"
"212","col",162,41,68,4,"eunited",10,"ardennes"
"221","eunited",92,98,90,5,"col",10,"ardennes"
"222","eunited",92,98,90,5,"col",10,"ardennes"
"23","eunited",113,21,65,5,"col",10,"ardennes"
"231","eunited",113,21,65,5,"col",10,"ardennes"
"24","eunited",153,20,78,5,"col",10,"ardennes"
"241","eunited",153,20,78,5,"col",10,"ardennes"
"25","col",136,118,41,5,"eunited",10,"ardennes"
"251","col",136,118,41,5,"eunited",10,"ardennes"
"26","col",118,122,74,5,"eunited",10,"ardennes"
"261","col",118,122,74,5,"eunited",10,"ardennes"
"27","col",146,97,64,5,"eunited",10,"ardennes"
"271","col",146,97,64,5,"eunited",10,"ardennes"
"28","col",164,38,60,5,"eunited",10,"ardennes"
"281","col",164,38,60,5,"eunited",10,"ardennes"
"29","col",138,26,97,5,"eunited",10,"ardennes"
"291","col",138,26,97,5,"eunited",10,"ardennes"
"30","eunited",110,29,158,6,"col",10,"ardennes"
"301","eunited",110,29,158,6,"col",10,"ardennes"
"311","eunited",154,20,98,6,"col",10,"ardennes"
"312","eunited",154,20,98,6,"col",10,"ardennes"
"32","col",119,118,78,6,"eunited",10,"ardennes"
"321","col",119,118,78,6,"eunited",10,"ardennes"
"33","col",146,100,82,6,"eunited",10,"ardennes"
"331","col",146,100,82,6,"eunited",10,"ardennes"
"34","col",164,39,51,6,"eunited",10,"ardennes"
"341","col",164,39,51,6,"eunited",10,"ardennes"
"35","col",138,24,115,6,"eunited",10,"ardennes"
"351","col",138,24,115,6,"eunited",10,"ardennes"
"36","eunited",93,99,85,7,"col",10,"ardennes"
"361","eunited",93,99,85,7,"col",10,"ardennes"
"37","eunited",111,20,142,7,"col",10,"ardennes"
"371","eunited",111,20,142,7,"col",10,"ardennes"
"38","eunited",151,18,60,7,"col",10,"ardennes"
"381","eunited",151,18,60,7,"col",10,"ardennes"
"39","col",115,110,107,7,"eunited",10,"ardennes"
"391","col",115,110,107,7,"eunited",10,"ardennes"
"40","col",142,102,143,7,"eunited",10,"ardennes"
"401","col",142,102,143,7,"eunited",10,"ardennes"
"411","col",163,38,61,7,"eunited",10,"ardennes"
"412","col",163,38,61,7,"eunited",10,"ardennes"
"42","col",140,26,106,7,"eunited",10,"ardennes"
"421","col",140,26,106,7,"eunited",10,"ardennes"
"43","eunited",92,100,53,8,"col",10,"ardennes"
"431","eunited",92,100,53,8,"col",10,"ardennes"
"44","eunited",113,14,122,8,"col",10,"ardennes"
"441","eunited",113,14,122,8,"col",10,"ardennes"
"45","col",115,110,94,8,"eunited",10,"ardennes"
"451","col",115,110,94,8,"eunited",10,"ardennes"
"46","col",142,102,151,8,"eunited",10,"ardennes"
"461","col",142,102,151,8,"eunited",10,"ardennes"
"47","col",136,25,204,8,"eunited",10,"ardennes"
"471","col",136,25,204,8,"eunited",10,"ardennes"
