"","team","x","y","area","time","opp","score","map"
"7305","optic",141,112,222,1,"col",10,"gib"
"73051","optic",141,112,222,1,"col",10,"gib"
"7306","optic",94,28,213,1,"col",10,"gib"
"73061","optic",94,28,213,1,"col",10,"gib"
"7307","optic",76,87,135,2,"col",10,"gib"
"73071","optic",76,87,135,2,"col",10,"gib"
"7308","optic",82,46,41,2,"col",10,"gib"
"73081","optic",82,46,41,2,"col",10,"gib"
"7309","optic",171,130,51,3,"col",10,"gib"
"73091","optic",171,130,51,3,"col",10,"gib"
"7310","optic",74,91,255,3,"col",10,"gib"
"73101","optic",74,91,255,3,"col",10,"gib"
"7311","col",121,60,112,3,"optic",10,"gib"
"73111","col",121,60,112,3,"optic",10,"gib"
"7312","col",259,27,184,3,"optic",10,"gib"
"73121","col",259,27,184,3,"optic",10,"gib"
"7313","optic",58,136,103,4,"col",10,"gib"
"73131","optic",58,136,103,4,"col",10,"gib"
"7314","optic",66,88,45,4,"col",10,"gib"
"73141","optic",66,88,45,4,"col",10,"gib"
"7315","optic",174,66,117,4,"col",10,"gib"
"73151","optic",174,66,117,4,"col",10,"gib"
"7316","col",107,107,144,4,"optic",10,"gib"
"73161","col",107,107,144,4,"optic",10,"gib"
"7317","col",139,76,131,4,"optic",10,"gib"
"73171","col",139,76,131,4,"optic",10,"gib"
"7318","col",133,46,143,4,"optic",10,"gib"
"73181","col",133,46,143,4,"optic",10,"gib"
"7319","col",125,11,46,5,"optic",10,"gib"
"73191","col",125,11,46,5,"optic",10,"gib"
"7320","col",105,12,148,5,"optic",10,"gib"
"73201","col",105,12,148,5,"optic",10,"gib"
"7321","optic",1,128,102,6,"col",10,"gib"
"73211","optic",1,128,102,6,"col",10,"gib"
"7322","optic",14,112,119,6,"col",10,"gib"
"73221","optic",14,112,119,6,"col",10,"gib"
"7323","optic",89,64,168,6,"col",10,"gib"
"73231","optic",89,64,168,6,"col",10,"gib"
"7324","optic",118,44,96,6,"col",10,"gib"
"73241","optic",118,44,96,6,"col",10,"gib"
"7325","optic",87,41,104,6,"col",10,"gib"
"73251","optic",87,41,104,6,"col",10,"gib"
"7326","optic",13,20,93,6,"col",10,"gib"
"73261","optic",13,20,93,6,"col",10,"gib"
"7327","col",187,20,90,6,"optic",10,"gib"
"73271","col",187,20,90,6,"optic",10,"gib"
"7328","optic",96,63,177,7,"col",10,"gib"
"73281","optic",96,63,177,7,"col",10,"gib"
"7329","optic",147,40,59,7,"col",10,"gib"
"73291","optic",147,40,59,7,"col",10,"gib"
"7330","optic",96,36,193,7,"col",10,"gib"
"73301","optic",96,36,193,7,"col",10,"gib"
"7331","col",175,20,82,7,"optic",10,"gib"
"73311","col",175,20,82,7,"optic",10,"gib"
"7332","optic",104,60,143,8,"col",10,"gib"
"73321","optic",104,60,143,8,"col",10,"gib"
"7333","optic",140,39,206,8,"col",10,"gib"
"73331","optic",140,39,206,8,"col",10,"gib"
"7334","optic",99,36,190,8,"col",10,"gib"
"73341","optic",99,36,190,8,"col",10,"gib"
"7335","optic",103,60,74,9,"col",10,"gib"
"73351","optic",103,60,74,9,"col",10,"gib"
"7336","optic",147,41,246,9,"col",10,"gib"
"73361","optic",147,41,246,9,"col",10,"gib"
"7337","optic",100,35,218,9,"col",10,"gib"
"73371","optic",100,35,218,9,"col",10,"gib"
"7338","col",154,85,89,9,"optic",10,"gib"
"73381","col",154,85,89,9,"optic",10,"gib"
"7339","col",168,13,56,9,"optic",10,"gib"
"73391","col",168,13,56,9,"optic",10,"gib"
"7340","optic",101,61,76,10,"col",10,"gib"
"73401","optic",101,61,76,10,"col",10,"gib"
"7341","optic",148,41,152,10,"col",10,"gib"
"73411","optic",148,41,152,10,"col",10,"gib"
"7342","optic",99,36,255,10,"col",10,"gib"
"73421","optic",99,36,255,10,"col",10,"gib"
"7343","col",166,62,51,10,"optic",15,"gib"
"73431","col",166,62,51,10,"optic",15,"gib"
"7344","col",156,15,162,10,"optic",15,"gib"
"73441","col",156,15,162,10,"optic",15,"gib"
"7345","optic",20,82,83,11,"col",10,"gib"
"73451","optic",20,82,83,11,"col",10,"gib"
"7346","optic",102,60,81,11,"col",10,"gib"
"73461","optic",102,60,81,11,"col",10,"gib"
"7347","optic",107,42,71,11,"col",10,"gib"
"73471","optic",107,42,71,11,"col",10,"gib"
"7348","optic",152,41,198,11,"col",10,"gib"
"73481","optic",152,41,198,11,"col",10,"gib"
"7349","col",156,19,140,11,"optic",15,"gib"
"73491","col",156,19,140,11,"optic",15,"gib"
"7350","optic",32,82,62,12,"col",10,"gib"
"73501","optic",32,82,62,12,"col",10,"gib"
"7351","optic",99,60,85,12,"col",10,"gib"
"73511","optic",99,60,85,12,"col",10,"gib"
"7352","col",146,55,71,12,"optic",15,"gib"
"73521","col",146,55,71,12,"optic",15,"gib"
"7353","col",159,16,109,12,"optic",15,"gib"
"73531","col",159,16,109,12,"optic",15,"gib"
"7354","optic",46,82,90,13,"col",10,"gib"
"73541","optic",46,82,90,13,"col",10,"gib"
"7355","optic",102,56,117,13,"col",10,"gib"
"73551","optic",102,56,117,13,"col",10,"gib"
"7356","optic",111,16,53,13,"col",10,"gib"
"73561","optic",111,16,53,13,"col",10,"gib"
"7357","optic",54,79,131,14,"col",10,"gib"
"73571","optic",54,79,131,14,"col",10,"gib"
"7358","optic",101,56,83,14,"col",10,"gib"
"73581","optic",101,56,83,14,"col",10,"gib"
"7359","optic",114,16,49,14,"col",10,"gib"
"73591","optic",114,16,49,14,"col",10,"gib"
"7360","col",203,104,92,14,"optic",15,"gib"
"73601","col",203,104,92,14,"optic",15,"gib"
"7361","col",144,83,78,14,"optic",15,"gib"
"73611","col",144,83,78,14,"optic",15,"gib"
"7362","col",159,22,52,14,"optic",15,"gib"
"73621","col",159,22,52,14,"optic",15,"gib"
"7363","optic",55,73,163,15,"col",10,"gib"
"73631","optic",55,73,163,15,"col",10,"gib"
