"","team","x","y","area","time","opp","score","map"
"2786","col",82,137,42,1,"lg",10,"marie"
"27861","col",82,137,42,1,"lg",10,"marie"
"2787","col",19,114,73,1,"lg",10,"marie"
"27871","col",19,114,73,1,"lg",10,"marie"
"2788","col",41,104,245,1,"lg",10,"marie"
"27881","col",41,104,245,1,"lg",10,"marie"
"2789","col",131,45,185,1,"lg",10,"marie"
"27891","col",131,45,185,1,"lg",10,"marie"
"2790","col",79,219,63,3,"lg",10,"marie"
"27901","col",79,219,63,3,"lg",10,"marie"
"2791","col",49,209,75,3,"lg",10,"marie"
"27911","col",49,209,75,3,"lg",10,"marie"
"2792","col",40,165,139,3,"lg",10,"marie"
"27921","col",40,165,139,3,"lg",10,"marie"
"2793","col",16,109,114,3,"lg",10,"marie"
"27931","col",16,109,114,3,"lg",10,"marie"
"2794","col",74,192,80,4,"lg",10,"marie"
"27941","col",74,192,80,4,"lg",10,"marie"
"2795","col",93,225,62,6,"lg",10,"marie"
"27951","col",93,225,62,6,"lg",10,"marie"
"2796","col",118,232,69,8,"lg",10,"marie"
"27961","col",118,232,69,8,"lg",10,"marie"
"2797","col",43,175,129,8,"lg",10,"marie"
"27971","col",43,175,129,8,"lg",10,"marie"
"2798","col",45,109,238,11,"lg",10,"marie"
"27981","col",45,109,238,11,"lg",10,"marie"
"2799","col",79,95,41,11,"lg",10,"marie"
"27991","col",79,95,41,11,"lg",10,"marie"
"2800","col",7,56,41,11,"lg",10,"marie"
"28001","col",7,56,41,11,"lg",10,"marie"
"2801","lg",124,53,48,12,"col",10,"marie"
"28011","lg",124,53,48,12,"col",10,"marie"
"2802","col",77,190,44,12,"lg",10,"marie"
"28021","col",77,190,44,12,"lg",10,"marie"
"2803","col",99,110,216,12,"lg",10,"marie"
"28031","col",99,110,216,12,"lg",10,"marie"
"2804","col",31,103,105,12,"lg",10,"marie"
"28041","col",31,103,105,12,"lg",10,"marie"
"2805","col",30,36,97,12,"lg",10,"marie"
"28051","col",30,36,97,12,"lg",10,"marie"
"2806","col",46,13,201,12,"lg",10,"marie"
"28061","col",46,13,201,12,"lg",10,"marie"
"2807","lg",117,108,194,13,"col",10,"marie"
"28071","lg",117,108,194,13,"col",10,"marie"
"2808","lg",79,96,65,13,"col",10,"marie"
"28081","lg",79,96,65,13,"col",10,"marie"
"2809","lg",60,75,47,13,"col",10,"marie"
"28091","lg",60,75,47,13,"col",10,"marie"
"2810","col",123,173,74,13,"lg",14,"marie"
"28101","col",123,173,74,13,"lg",14,"marie"
"2811","lg",121,117,69,14,"col",10,"marie"
"28111","lg",121,117,69,14,"col",10,"marie"
"2812","lg",78,96,75,14,"col",10,"marie"
"28121","lg",78,96,75,14,"col",10,"marie"
"2813","lg",60,74,66,14,"col",10,"marie"
"28131","lg",60,74,66,14,"col",10,"marie"
"2814","col",125,171,80,14,"lg",14,"marie"
"28141","col",125,171,80,14,"lg",14,"marie"
"2815","col",63,170,79,14,"lg",14,"marie"
"28151","col",63,170,79,14,"lg",14,"marie"
"2816","col",82,165,100,14,"lg",14,"marie"
"28161","col",82,165,100,14,"lg",14,"marie"
"2817","col",67,147,132,14,"lg",14,"marie"
"28171","col",67,147,132,14,"lg",14,"marie"
"2818","lg",120,126,69,15,"col",10,"marie"
"28181","lg",120,126,69,15,"col",10,"marie"
"2819","lg",99,123,65,15,"col",10,"marie"
"28191","lg",99,123,65,15,"col",10,"marie"
"2820","lg",75,99,123,15,"col",10,"marie"
"28201","lg",75,99,123,15,"col",10,"marie"
"2821","lg",61,74,75,15,"col",10,"marie"
"28211","lg",61,74,75,15,"col",10,"marie"
"2822","col",120,168,78,15,"lg",14,"marie"
"28221","col",120,168,78,15,"lg",14,"marie"
"2823","col",66,138,72,15,"lg",14,"marie"
"28231","col",66,138,72,15,"lg",14,"marie"
"2824","lg",76,96,68,16,"col",10,"marie"
"28241","lg",76,96,68,16,"col",10,"marie"
"2825","lg",61,75,87,16,"col",10,"marie"
"28251","lg",61,75,87,16,"col",10,"marie"
"2826","col",73,164,233,16,"lg",14,"marie"
"28261","col",73,164,233,16,"lg",14,"marie"
"2827","col",127,158,135,16,"lg",14,"marie"
"28271","col",127,158,135,16,"lg",14,"marie"
"2828","col",108,131,112,16,"lg",14,"marie"
"28281","col",108,131,112,16,"lg",14,"marie"
"2829","col",64,132,78,16,"lg",14,"marie"
"28291","col",64,132,78,16,"lg",14,"marie"
"2830","lg",85,137,47,17,"col",10,"marie"
"28301","lg",85,137,47,17,"col",10,"marie"
"2831","lg",130,134,62,17,"col",10,"marie"
"28311","lg",130,134,62,17,"col",10,"marie"
"2832","lg",78,99,75,17,"col",10,"marie"
"28321","lg",78,99,75,17,"col",10,"marie"
"2833","lg",60,74,76,17,"col",10,"marie"
"28331","lg",60,74,76,17,"col",10,"marie"
"2834","col",85,161,139,17,"lg",14,"marie"
"28341","col",85,161,139,17,"lg",14,"marie"
"2835","col",68,158,70,17,"lg",14,"marie"
"28351","col",68,158,70,17,"lg",14,"marie"
"2836","col",130,155,115,17,"lg",14,"marie"
"28361","col",130,155,115,17,"lg",14,"marie"
"2837","col",74,129,131,17,"lg",14,"marie"
"28371","col",74,129,131,17,"lg",14,"marie"
"2838","lg",130,142,86,18,"col",10,"marie"
"28381","lg",130,142,86,18,"col",10,"marie"
"2839","lg",74,105,108,18,"col",10,"marie"
"28391","lg",74,105,108,18,"col",10,"marie"
"2840","lg",59,74,74,18,"col",10,"marie"
"28401","lg",59,74,74,18,"col",10,"marie"
"2841","col",88,164,60,18,"lg",14,"marie"
"28411","col",88,164,60,18,"lg",14,"marie"
"2842","col",66,155,123,18,"lg",14,"marie"
"28421","col",66,155,123,18,"lg",14,"marie"
"2843","col",86,124,144,18,"lg",14,"marie"
"28431","col",86,124,144,18,"lg",14,"marie"
"2844","lg",130,147,62,19,"col",10,"marie"
"28441","lg",130,147,62,19,"col",10,"marie"
"2845","lg",70,127,40,19,"col",10,"marie"
"28451","lg",70,127,40,19,"col",10,"marie"
"2846","lg",72,105,72,19,"col",10,"marie"
"28461","lg",72,105,72,19,"col",10,"marie"
"2847","lg",59,74,72,19,"col",10,"marie"
"28471","lg",59,74,72,19,"col",10,"marie"
"2848","col",37,237,50,19,"lg",14,"marie"
"28481","col",37,237,50,19,"lg",14,"marie"
"2849","col",95,163,147,19,"lg",14,"marie"
"28491","col",95,163,147,19,"lg",14,"marie"
"2850","col",66,148,65,19,"lg",14,"marie"
"28501","col",66,148,65,19,"lg",14,"marie"
"2851","col",93,126,99,19,"lg",14,"marie"
"28511","col",93,126,99,19,"lg",14,"marie"
"2852","lg",131,150,71,20,"col",10,"marie"
"28521","lg",131,150,71,20,"col",10,"marie"
"2853","lg",78,126,133,20,"col",10,"marie"
"28531","lg",78,126,133,20,"col",10,"marie"
"2854","lg",74,102,80,20,"col",10,"marie"
"28541","lg",74,102,80,20,"col",10,"marie"
"2855","col",36,224,161,20,"lg",14,"marie"
"28551","col",36,224,161,20,"lg",14,"marie"
"2856","col",93,153,83,20,"lg",14,"marie"
"28561","col",93,153,83,20,"lg",14,"marie"
"2857","lg",133,145,93,21,"col",10,"marie"
"28571","lg",133,145,93,21,"col",10,"marie"
"2858","lg",92,129,70,21,"col",10,"marie"
"28581","lg",92,129,70,21,"col",10,"marie"
"2859","lg",77,111,52,21,"col",10,"marie"
"28591","lg",77,111,52,21,"col",10,"marie"
"2860","col",38,213,87,21,"lg",14,"marie"
"28601","col",38,213,87,21,"lg",14,"marie"
"2861","lg",124,142,95,22,"col",10,"marie"
"28611","lg",124,142,95,22,"col",10,"marie"
"2862","lg",78,123,170,22,"col",10,"marie"
"28621","lg",78,123,170,22,"col",10,"marie"
"2863","col",17,223,87,22,"lg",14,"marie"
"28631","col",17,223,87,22,"lg",14,"marie"
"2864","col",41,202,74,22,"lg",14,"marie"
"28641","col",41,202,74,22,"lg",14,"marie"
"2865","col",102,163,85,22,"lg",14,"marie"
"28651","col",102,163,85,22,"lg",14,"marie"
"2866","col",79,150,165,22,"lg",14,"marie"
"28661","col",79,150,165,22,"lg",14,"marie"
"2867","col",71,130,61,22,"lg",14,"marie"
"28671","col",71,130,61,22,"lg",14,"marie"
"2868","lg",116,140,101,23,"col",10,"marie"
"28681","lg",116,140,101,23,"col",10,"marie"
"2869","lg",77,120,133,23,"col",10,"marie"
"28691","lg",77,120,133,23,"col",10,"marie"
"2870","col",19,211,92,23,"lg",14,"marie"
"28701","col",19,211,92,23,"lg",14,"marie"
"2871","col",43,189,81,23,"lg",14,"marie"
"28711","col",43,189,81,23,"lg",14,"marie"
"2872","col",110,168,97,23,"lg",14,"marie"
"28721","col",110,168,97,23,"lg",14,"marie"
"2873","lg",106,128,42,24,"col",10,"marie"
"28731","lg",106,128,42,24,"col",10,"marie"
"2874","lg",79,117,83,24,"col",10,"marie"
"28741","lg",79,117,83,24,"col",10,"marie"
"2875","lg",95,66,49,24,"col",10,"marie"
"28751","lg",95,66,49,24,"col",10,"marie"
"2876","col",23,202,59,24,"lg",14,"marie"
"28761","col",23,202,59,24,"lg",14,"marie"
"2877","col",44,177,129,24,"lg",14,"marie"
"28771","col",44,177,129,24,"lg",14,"marie"
"2878","col",113,167,100,24,"lg",14,"marie"
"28781","col",113,167,100,24,"lg",14,"marie"
"2879","col",81,145,100,24,"lg",14,"marie"
"28791","col",81,145,100,24,"lg",14,"marie"
"2880","lg",98,126,57,25,"col",10,"marie"
"28801","lg",98,126,57,25,"col",10,"marie"
"2881","lg",75,115,60,25,"col",10,"marie"
"28811","lg",75,115,60,25,"col",10,"marie"
"2882","lg",94,77,48,25,"col",10,"marie"
"28821","lg",94,77,48,25,"col",10,"marie"
"2883","col",53,174,97,25,"lg",14,"marie"
"28831","col",53,174,97,25,"lg",14,"marie"
"2884","col",108,164,189,25,"lg",14,"marie"
"28841","col",108,164,189,25,"lg",14,"marie"
"2885","col",81,133,158,25,"lg",14,"marie"
"28851","col",81,133,158,25,"lg",14,"marie"
"2886","lg",94,126,102,26,"col",10,"marie"
"28861","lg",94,126,102,26,"col",10,"marie"
"2887","lg",73,116,47,26,"col",10,"marie"
"28871","lg",73,116,47,26,"col",10,"marie"
"2888","lg",90,87,42,26,"col",10,"marie"
"28881","lg",90,87,42,26,"col",10,"marie"
"2889","col",63,169,51,26,"lg",14,"marie"
"28891","col",63,169,51,26,"lg",14,"marie"
"2890","col",112,166,157,26,"lg",14,"marie"
"28901","col",112,166,157,26,"lg",14,"marie"
"2891","col",80,133,211,26,"lg",14,"marie"
"28911","col",80,133,211,26,"lg",14,"marie"
"2892","lg",81,91,57,27,"col",10,"marie"
"28921","lg",81,91,57,27,"col",10,"marie"
"2893","col",39,169,96,27,"lg",14,"marie"
"28931","col",39,169,96,27,"lg",14,"marie"
"2894","col",112,164,75,27,"lg",14,"marie"
"28941","col",112,164,75,27,"lg",14,"marie"
"2895","col",76,161,171,27,"lg",14,"marie"
"28951","col",76,161,171,27,"lg",14,"marie"
"2896","col",100,164,84,28,"lg",14,"marie"
"28961","col",100,164,84,28,"lg",14,"marie"
"2897","col",78,154,56,28,"lg",14,"marie"
"28971","col",78,154,56,28,"lg",14,"marie"
"2898","col",31,159,180,28,"lg",14,"marie"
"28981","col",31,159,180,28,"lg",14,"marie"
"2899","col",80,151,55,29,"lg",14,"marie"
"28991","col",80,151,55,29,"lg",14,"marie"
"2900","col",112,150,165,29,"lg",14,"marie"
"29001","col",112,150,165,29,"lg",14,"marie"
"2901","col",29,148,175,29,"lg",14,"marie"
"29011","col",29,148,175,29,"lg",14,"marie"
"2902","col",72,129,210,29,"lg",14,"marie"
"29021","col",72,129,210,29,"lg",14,"marie"
"2903","lg",78,116,80,30,"col",10,"marie"
"29031","lg",78,116,80,30,"col",10,"marie"
"2904","lg",80,96,53,30,"col",10,"marie"
"29041","lg",80,96,53,30,"col",10,"marie"
"2905","col",95,238,65,30,"lg",14,"marie"
"29051","col",95,238,65,30,"lg",14,"marie"
"2906","col",86,162,75,30,"lg",14,"marie"
"29061","col",86,162,75,30,"lg",14,"marie"
"2907","col",27,135,149,30,"lg",14,"marie"
"29071","col",27,135,149,30,"lg",14,"marie"
"2908","lg",80,116,82,31,"col",10,"marie"
"29081","lg",80,116,82,31,"col",10,"marie"
"2909","lg",81,101,53,31,"col",10,"marie"
"29091","lg",81,101,53,31,"col",10,"marie"
"2910","col",93,226,52,31,"lg",14,"marie"
"29101","col",93,226,52,31,"lg",14,"marie"
"2911","col",37,128,157,31,"lg",14,"marie"
"29111","col",37,128,157,31,"lg",14,"marie"
"2912","lg",79,110,182,32,"col",10,"marie"
"29121","lg",79,110,182,32,"col",10,"marie"
"2913","col",48,127,163,32,"lg",14,"marie"
"29131","col",48,127,163,32,"lg",14,"marie"
"2914","lg",77,109,144,33,"col",10,"marie"
"29141","lg",77,109,144,33,"col",10,"marie"
"2915","lg",125,44,47,33,"col",10,"marie"
"29151","lg",125,44,47,33,"col",10,"marie"
"2916","lg",77,105,96,34,"col",10,"marie"
"29161","lg",77,105,96,34,"col",10,"marie"
"2917","col",89,197,47,34,"lg",14,"marie"
"29171","col",89,197,47,34,"lg",14,"marie"
"2918","lg",82,105,67,35,"col",10,"marie"
"29181","lg",82,105,67,35,"col",10,"marie"
"2919","col",88,185,42,35,"lg",14,"marie"
"29191","col",88,185,42,35,"lg",14,"marie"
"2920","lg",84,104,42,36,"col",10,"marie"
"29201","lg",84,104,42,36,"col",10,"marie"
"2921","col",90,173,84,36,"lg",14,"marie"
"29211","col",90,173,84,36,"lg",14,"marie"
"2922","col",62,115,76,36,"lg",14,"marie"
"29221","col",62,115,76,36,"lg",14,"marie"
"2923","col",91,166,46,37,"lg",14,"marie"
"29231","col",91,166,46,37,"lg",14,"marie"
"2924","col",65,111,47,37,"lg",14,"marie"
"29241","col",65,111,47,37,"lg",14,"marie"
"2925","col",107,108,115,37,"lg",14,"marie"
"29251","col",107,108,115,37,"lg",14,"marie"
"2926","col",13,39,57,37,"lg",14,"marie"
"29261","col",13,39,57,37,"lg",14,"marie"
"2927","col",84,166,85,38,"lg",14,"marie"
"29271","col",84,166,85,38,"lg",14,"marie"
"2928","lg",106,48,61,39,"col",10,"marie"
"29281","lg",106,48,61,39,"col",10,"marie"
"2929","lg",125,44,76,39,"col",10,"marie"
"29291","lg",125,44,76,39,"col",10,"marie"
"2930","lg",115,45,62,40,"col",10,"marie"
"29301","lg",115,45,62,40,"col",10,"marie"
"2931","col",68,90,50,40,"lg",14,"marie"
"29311","col",68,90,50,40,"lg",14,"marie"
"2932","lg",107,71,74,41,"col",10,"marie"
"29321","lg",107,71,74,41,"col",10,"marie"
"2933","lg",105,48,44,41,"col",10,"marie"
"29331","lg",105,48,44,41,"col",10,"marie"
"2934","col",76,81,68,41,"lg",14,"marie"
"29341","col",76,81,68,41,"lg",14,"marie"
"2935","col",37,76,123,41,"lg",14,"marie"
"29351","col",37,76,123,41,"lg",14,"marie"
"2936","lg",96,237,124,42,"col",10,"marie"
"29361","lg",96,237,124,42,"col",10,"marie"
"2937","lg",104,79,77,42,"col",10,"marie"
"29371","lg",104,79,77,42,"col",10,"marie"
"2938","lg",98,56,50,42,"col",10,"marie"
"29381","lg",98,56,50,42,"col",10,"marie"
"2939","col",35,79,153,42,"lg",14,"marie"
"29391","col",35,79,153,42,"lg",14,"marie"
"2940","col",68,73,111,42,"lg",14,"marie"
"29401","col",68,73,111,42,"lg",14,"marie"
"2941","col",116,69,105,42,"lg",14,"marie"
"29411","col",116,69,105,42,"lg",14,"marie"
"2942","lg",94,226,131,43,"col",10,"marie"
"29421","lg",94,226,131,43,"col",10,"marie"
"2943","lg",91,82,67,43,"col",10,"marie"
"29431","lg",91,82,67,43,"col",10,"marie"
"2944","lg",95,65,55,43,"col",10,"marie"
"29441","lg",95,65,55,43,"col",10,"marie"
"2945","col",37,67,136,43,"lg",14,"marie"
"29451","col",37,67,136,43,"lg",14,"marie"
"2946","col",113,57,161,43,"lg",14,"marie"
"29461","col",113,57,161,43,"lg",14,"marie"
"2947","col",64,60,157,43,"lg",14,"marie"
"29471","col",64,60,157,43,"lg",14,"marie"
"2948","lg",83,85,63,44,"col",10,"marie"
"29481","lg",83,85,63,44,"col",10,"marie"
"2949","lg",96,67,63,44,"col",10,"marie"
"29491","lg",96,67,63,44,"col",10,"marie"
"2950","col",34,57,68,44,"lg",14,"marie"
"29501","col",34,57,68,44,"lg",14,"marie"
"2951","col",76,48,101,44,"lg",14,"marie"
"29511","col",76,48,101,44,"lg",14,"marie"
"2952","lg",97,200,41,45,"col",10,"marie"
"29521","lg",97,200,41,45,"col",10,"marie"
"2953","lg",78,81,61,45,"col",10,"marie"
"29531","lg",78,81,61,45,"col",10,"marie"
"2954","col",51,48,249,45,"lg",14,"marie"
"29541","col",51,48,249,45,"lg",14,"marie"
"2955","lg",72,205,50,46,"col",10,"marie"
"29551","lg",72,205,50,46,"col",10,"marie"
"2956","lg",99,190,50,46,"col",10,"marie"
"29561","lg",99,190,50,46,"col",10,"marie"
"2957","lg",107,77,43,46,"col",10,"marie"
"29571","lg",107,77,43,46,"col",10,"marie"
"2958","col",57,50,175,46,"lg",14,"marie"
"29581","col",57,50,175,46,"lg",14,"marie"
"2959","col",62,35,85,46,"lg",14,"marie"
"29591","col",62,35,85,46,"lg",14,"marie"
"2960","lg",99,179,45,47,"col",10,"marie"
"29601","lg",99,179,45,47,"col",10,"marie"
"2961","col",64,42,266,47,"lg",14,"marie"
"29611","col",64,42,266,47,"lg",14,"marie"
"2962","lg",99,176,90,48,"col",10,"marie"
"29621","lg",99,176,90,48,"col",10,"marie"
"2963","lg",115,81,61,48,"col",10,"marie"
"29631","lg",115,81,61,48,"col",10,"marie"
"2964","col",113,44,127,48,"lg",15,"marie"
"29641","col",113,44,127,48,"lg",15,"marie"
"2965","col",72,40,162,48,"lg",15,"marie"
"29651","col",72,40,162,48,"lg",15,"marie"
"2966","lg",72,173,65,49,"col",10,"marie"
"29661","lg",72,173,65,49,"col",10,"marie"
"2967","lg",116,72,57,49,"col",10,"marie"
"29671","lg",116,72,57,49,"col",10,"marie"
"2968","col",109,49,140,49,"lg",16,"marie"
"29681","col",109,49,140,49,"lg",16,"marie"
"2969","col",66,41,198,49,"lg",16,"marie"
"29691","col",66,41,198,49,"lg",16,"marie"
"2970","lg",75,162,54,50,"col",10,"marie"
"29701","lg",75,162,54,50,"col",10,"marie"
"2971","lg",123,63,60,50,"col",10,"marie"
"29711","lg",123,63,60,50,"col",10,"marie"
"2972","col",65,43,126,50,"lg",17,"marie"
"29721","col",65,43,126,50,"lg",17,"marie"
"2973","lg",80,157,67,51,"col",10,"marie"
"29731","lg",80,157,67,51,"col",10,"marie"
"2974","lg",66,62,111,51,"col",10,"marie"
"29741","lg",66,62,111,51,"col",10,"marie"
"2975","col",68,32,71,51,"lg",18,"marie"
"29751","col",68,32,71,51,"lg",18,"marie"
"2976","lg",75,158,76,52,"col",10,"marie"
"29761","lg",75,158,76,52,"col",10,"marie"
"2977","lg",69,58,71,52,"col",10,"marie"
"29771","lg",69,58,71,52,"col",10,"marie"
"2978","col",75,17,45,52,"lg",19,"marie"
"29781","col",75,17,45,52,"lg",19,"marie"
"2979","lg",76,160,87,53,"col",10,"marie"
"29791","lg",76,160,87,53,"col",10,"marie"
"2980","lg",76,58,91,53,"col",10,"marie"
"29801","lg",76,58,91,53,"col",10,"marie"
"2981","col",14,68,158,53,"lg",20,"marie"
"29811","col",14,68,158,53,"lg",20,"marie"
"2982","col",72,22,85,53,"lg",20,"marie"
"29821","col",72,22,85,53,"lg",20,"marie"
"2983","lg",76,162,73,54,"col",10,"marie"
"29831","lg",76,162,73,54,"col",10,"marie"
"2984","col",16,84,45,54,"lg",21,"marie"
"29841","col",16,84,45,54,"lg",21,"marie"
"2985","col",15,71,72,54,"lg",21,"marie"
"29851","col",15,71,72,54,"lg",21,"marie"
"2986","col",110,27,40,54,"lg",21,"marie"
"29861","col",110,27,40,54,"lg",21,"marie"
"2987","col",66,27,65,54,"lg",21,"marie"
"29871","col",66,27,65,54,"lg",21,"marie"
"2988","lg",71,205,118,55,"col",10,"marie"
"29881","lg",71,205,118,55,"col",10,"marie"
"2989","lg",78,160,111,55,"col",10,"marie"
"29891","lg",78,160,111,55,"col",10,"marie"
"2990","col",19,66,103,55,"lg",21,"marie"
"29901","col",19,66,103,55,"lg",21,"marie"
"2991","col",74,33,71,55,"lg",21,"marie"
"29911","col",74,33,71,55,"lg",21,"marie"
"2992","col",113,32,256,55,"lg",21,"marie"
"29921","col",113,32,256,55,"lg",21,"marie"
"2993","lg",68,197,71,56,"col",10,"marie"
"29931","lg",68,197,71,56,"col",10,"marie"
"2994","lg",74,159,77,56,"col",10,"marie"
"29941","lg",74,159,77,56,"col",10,"marie"
"2995","lg",110,20,103,56,"col",10,"marie"
"29951","lg",110,20,103,56,"col",10,"marie"
"2996","col",38,84,67,56,"lg",23,"marie"
"29961","col",38,84,67,56,"lg",23,"marie"
"2997","lg",78,154,62,57,"col",10,"marie"
"29971","lg",78,154,62,57,"col",10,"marie"
"2998","col",48,87,83,57,"lg",24,"marie"
"29981","col",48,87,83,57,"lg",24,"marie"
"2999","col",31,49,52,57,"lg",24,"marie"
"29991","col",31,49,52,57,"lg",24,"marie"
"3000","lg",76,178,76,58,"col",10,"marie"
"30001","lg",76,178,76,58,"col",10,"marie"
"3001","lg",76,146,51,58,"col",10,"marie"
"30011","lg",76,146,51,58,"col",10,"marie"
"3002","col",32,40,60,58,"lg",24,"marie"
"30021","col",32,40,60,58,"lg",24,"marie"
"3003","lg",72,166,101,59,"col",10,"marie"
"30031","lg",72,166,101,59,"col",10,"marie"
"3004","lg",71,142,75,59,"col",10,"marie"
"30041","lg",71,142,75,59,"col",10,"marie"
"3005","col",24,43,63,60,"lg",24,"marie"
"30051","col",24,43,63,60,"lg",24,"marie"
"3006","col",43,27,218,60,"lg",24,"marie"
"30061","col",43,27,218,60,"lg",24,"marie"
"3007","lg",74,146,159,61,"col",10,"marie"
"30071","lg",74,146,159,61,"col",10,"marie"
"3008","col",45,27,193,61,"lg",26,"marie"
"30081","col",45,27,193,61,"lg",26,"marie"
"3009","lg",75,2,44,62,"col",10,"marie"
"30091","lg",75,2,44,62,"col",10,"marie"
"3010","col",86,132,62,62,"lg",26,"marie"
"30101","col",86,132,62,62,"lg",26,"marie"
"3011","col",45,46,79,62,"lg",26,"marie"
"30111","col",45,46,79,62,"lg",26,"marie"
"3012","col",53,30,184,62,"lg",26,"marie"
"30121","col",53,30,184,62,"lg",26,"marie"
"3013","col",91,131,67,63,"lg",26,"marie"
"30131","col",91,131,67,63,"lg",26,"marie"
"3014","col",90,78,82,63,"lg",26,"marie"
"30141","col",90,78,82,63,"lg",26,"marie"
"3015","col",54,48,101,63,"lg",26,"marie"
"30151","col",54,48,101,63,"lg",26,"marie"
"3016","col",53,26,101,63,"lg",26,"marie"
"30161","col",53,26,101,63,"lg",26,"marie"
"3017","lg",74,132,266,64,"col",10,"marie"
"30171","lg",74,132,266,64,"col",10,"marie"
"3018","lg",65,108,41,64,"col",10,"marie"
"30181","lg",65,108,41,64,"col",10,"marie"
"3019","col",86,123,48,64,"lg",26,"marie"
"30191","col",86,123,48,64,"lg",26,"marie"
"3020","col",88,86,152,64,"lg",26,"marie"
"30201","col",88,86,152,64,"lg",26,"marie"
"3021","col",61,35,71,64,"lg",26,"marie"
"30211","col",61,35,71,64,"lg",26,"marie"
"3022","col",61,20,79,64,"lg",26,"marie"
"30221","col",61,20,79,64,"lg",26,"marie"
"3023","lg",29,191,62,65,"col",10,"marie"
"30231","lg",29,191,62,65,"col",10,"marie"
"3024","lg",73,104,46,65,"col",10,"marie"
"30241","lg",73,104,46,65,"col",10,"marie"
"3025","col",80,89,163,65,"lg",26,"marie"
"30251","col",80,89,163,65,"lg",26,"marie"
"3026","col",72,35,65,65,"lg",26,"marie"
"30261","col",72,35,65,65,"lg",26,"marie"
"3027","col",72,14,75,65,"lg",26,"marie"
"30271","col",72,14,75,65,"lg",26,"marie"
"3028","col",101,138,132,66,"lg",26,"marie"
"30281","col",101,138,132,66,"lg",26,"marie"
"3029","col",79,91,164,66,"lg",26,"marie"
"30291","col",79,91,164,66,"lg",26,"marie"
"3030","col",77,38,53,66,"lg",26,"marie"
"30301","col",77,38,53,66,"lg",26,"marie"
"3031","col",84,11,74,66,"lg",26,"marie"
"30311","col",84,11,74,66,"lg",26,"marie"
"3032","lg",32,185,51,67,"col",10,"marie"
"30321","lg",32,185,51,67,"col",10,"marie"
"3033","col",71,144,98,67,"lg",26,"marie"
"30331","col",71,144,98,67,"lg",26,"marie"
"3034","col",75,90,136,67,"lg",26,"marie"
"30341","col",75,90,136,67,"lg",26,"marie"
"3035","col",64,47,70,67,"lg",26,"marie"
"30351","col",64,47,70,67,"lg",26,"marie"
"3036","col",93,11,55,67,"lg",26,"marie"
"30361","col",93,11,55,67,"lg",26,"marie"
"3037","col",75,144,83,68,"lg",26,"marie"
"30371","col",75,144,83,68,"lg",26,"marie"
"3038","col",78,90,131,68,"lg",26,"marie"
"30381","col",78,90,131,68,"lg",26,"marie"
"3039","col",52,47,90,68,"lg",26,"marie"
"30391","col",52,47,90,68,"lg",26,"marie"
"3040","col",103,17,42,68,"lg",26,"marie"
"30401","col",103,17,42,68,"lg",26,"marie"
"3041","lg",43,179,93,69,"col",10,"marie"
"30411","lg",43,179,93,69,"col",10,"marie"
"3042","lg",28,148,48,69,"col",10,"marie"
"30421","lg",28,148,48,69,"col",10,"marie"
"3043","lg",68,122,70,69,"col",10,"marie"
"30431","lg",68,122,70,69,"col",10,"marie"
"3044","col",72,143,68,69,"lg",26,"marie"
"30441","col",72,143,68,69,"lg",26,"marie"
"3045","col",79,95,161,69,"lg",26,"marie"
"30451","col",79,95,161,69,"lg",26,"marie"
"3046","col",40,44,104,69,"lg",26,"marie"
"30461","col",40,44,104,69,"lg",26,"marie"
"3047","col",116,20,67,69,"lg",26,"marie"
"30471","col",116,20,67,69,"lg",26,"marie"
"3048","lg",50,173,121,70,"col",10,"marie"
"30481","lg",50,173,121,70,"col",10,"marie"
"3049","lg",27,134,55,70,"col",10,"marie"
"30491","lg",27,134,55,70,"col",10,"marie"
"3050","lg",67,124,58,70,"col",10,"marie"
"30501","lg",67,124,58,70,"col",10,"marie"
"3051","lg",55,171,82,71,"col",10,"marie"
"30511","lg",55,171,82,71,"col",10,"marie"
"3052","lg",37,128,42,71,"col",10,"marie"
